"GENDER" "RACE" "WKSESL" "C1GMOTOR" "C1FMOTOR" "T1INTERN" "T1EXTERN" "T1INTERP" "T1CONTRO" "P1FIRKDG" "AGEBASELINE" "score" "time" "CHILDID"
"7" "female" "white, non-Hispanic" 0.62 2 6 2.25 2.8 2.2 2 1 68 -1.37 0 "1"
"21416" "female" "white, non-Hispanic" 0.62 2 6 2.25 2.8 2.2 2 1 68 -0.16 3.46410161513775 "1"
"42825" "female" "white, non-Hispanic" 0.62 2 6 2.25 2.8 2.2 2 1 68 0.61 6 "1"
"64234" "female" "white, non-Hispanic" 0.62 2 6 2.25 2.8 2.2 2 1 68 1.17 7.61577310586391 "1"
"85643" "female" "white, non-Hispanic" 0.62 2 6 2.25 2.8 2.2 2 1 68 1.17 9.69535971483266 "1"
"32" "female" "white, non-Hispanic" -0.12 8 8 1.5 1.8 2.8 3 2 84 -0.74 0 "2"
"21441" "female" "white, non-Hispanic" -0.12 8 8 1.5 1.8 2.8 3 2 84 0.02 3.3166247903554 "2"
"42850" "female" "white, non-Hispanic" -0.12 8 8 1.5 1.8 2.8 3 2 84 1 5.91607978309962 "2"
"64259" "female" "white, non-Hispanic" -0.12 8 8 1.5 1.8 2.8 3 2 84 1 7.48331477354788 "2"
"85668" "female" "white, non-Hispanic" -0.12 8 8 1.5 1.8 2.8 3 2 84 1.6 9.69535971483266 "2"
"35" "male" "white, non-Hispanic" -0.55 7 5 2 1 3.2 3.5 2 84 0.75 0 "3"
"21444" "male" "white, non-Hispanic" -0.55 7 5 2 1 3.2 3.5 2 84 1.03 3.3166247903554 "3"
"42853" "male" "white, non-Hispanic" -0.55 7 5 2 1 3.2 3.5 2 84 1.24 5.91607978309962 "3"
"64262" "male" "white, non-Hispanic" -0.55 7 5 2 1 3.2 3.5 2 84 1.55 7.48331477354788 "3"
"85671" "male" "white, non-Hispanic" -0.55 7 5 2 1 3.2 3.5 2 84 2 9.64365076099295 "3"
"63" "male" "other" -0.68 6 8 1.5 1 2 2.5 1 72 -1.15 0 "4"
"21472" "male" "other" -0.68 6 8 1.5 1 2 2.5 1 72 0.34 3.46410161513775 "4"
"42881" "male" "other" -0.68 6 8 1.5 1 2 2.5 1 72 0.81 5.91607978309962 "4"
"64290" "male" "other" -0.68 6 8 1.5 1 2 2.5 1 72 1.07 7.61577310586391 "4"
"85699" "male" "other" -0.68 6 8 1.5 1 2 2.5 1 72 1.64 9.74679434480896 "4"
"93" "male" "white, non-Hispanic" 1.29 6 7 1.25 1.2 3.6 3.5 1 70 -0.46 0 "5"
"21502" "male" "white, non-Hispanic" 1.29 6 7 1.25 1.2 3.6 3.5 1 70 0.18 3.46410161513775 "5"
"42911" "male" "white, non-Hispanic" 1.29 6 7 1.25 1.2 3.6 3.5 1 70 1.01 5.91607978309962 "5"
"64320" "male" "white, non-Hispanic" 1.29 6 7 1.25 1.2 3.6 3.5 1 70 1.31 7.74596669241483 "5"
"85729" "male" "white, non-Hispanic" 1.29 6 7 1.25 1.2 3.6 3.5 1 70 1.66 9.69535971483266 "5"
"141" "male" "white, non-Hispanic" -0.55 8 5 1 1 4 3.67 1 79 -0.74 0 "6"
"21550" "male" "white, non-Hispanic" -0.55 8 5 1 1 4 3.67 1 79 0.17 3.3166247903554 "6"
"42959" "male" "white, non-Hispanic" -0.55 8 5 1 1 4 3.67 1 79 0.68 6 "6"
"64368" "male" "white, non-Hispanic" -0.55 8 5 1 1 4 3.67 1 79 0.99 7.68114574786861 "6"
"85777" "male" "white, non-Hispanic" -0.55 8 5 1 1 4 3.67 1 79 1.36 9.74679434480896 "6"
"145" "male" "white, non-Hispanic" -1.1 7 5 1.5 1 3.25 3.5 1 70 -1.17 0 "7"
"21554" "male" "white, non-Hispanic" -1.1 7 5 1.5 1 3.25 3.5 1 70 -0.45 3.3166247903554 "7"
"42963" "male" "white, non-Hispanic" -1.1 7 5 1.5 1 3.25 3.5 1 70 0.07 5.8309518948453 "7"
"64372" "male" "white, non-Hispanic" -1.1 7 5 1.5 1 3.25 3.5 1 70 0.61 7.68114574786861 "7"
"85781" "male" "white, non-Hispanic" -1.1 7 5 1.5 1 3.25 3.5 1 70 1.02 9.74679434480896 "7"
"274" "female" "white, non-Hispanic" 0.22 6 3 2 2.4 2.2 3 1 69 -0.42 0 "8"
"21683" "female" "white, non-Hispanic" 0.22 6 3 2 2.4 2.2 3 1 69 0.6 3.3166247903554 "8"
"43092" "female" "white, non-Hispanic" 0.22 6 3 2 2.4 2.2 3 1 69 0.95 5.91607978309962 "8"
"64501" "female" "white, non-Hispanic" 0.22 6 3 2 2.4 2.2 3 1 69 1.41 7.61577310586391 "8"
"85910" "female" "white, non-Hispanic" 0.22 6 3 2 2.4 2.2 3 1 69 1.66 9.74679434480896 "8"
"286" "male" "white, non-Hispanic" 0.5 8 7 2 2 2.6 3 1 76 -0.49 0 "9"
"21695" "male" "white, non-Hispanic" 0.5 8 7 2 2 2.6 3 1 76 0.4 3.3166247903554 "9"
"43104" "male" "white, non-Hispanic" 0.5 8 7 2 2 2.6 3 1 76 0.93 6 "9"
"64513" "male" "white, non-Hispanic" 0.5 8 7 2 2 2.6 3 1 76 1.03 7.68114574786861 "9"
"85922" "male" "white, non-Hispanic" 0.5 8 7 2 2 2.6 3 1 76 1.4 9.74679434480896 "9"
"347" "male" "white, non-Hispanic" -1.03 5 1 2.75 1 3.2 3.5 1 71 -0.92 0 "10"
"21756" "male" "white, non-Hispanic" -1.03 5 1 2.75 1 3.2 3.5 1 71 -0.43 3.46410161513775 "10"
"43165" "male" "white, non-Hispanic" -1.03 5 1 2.75 1 3.2 3.5 1 71 0.09 5.8309518948453 "10"
"64574" "male" "white, non-Hispanic" -1.03 5 1 2.75 1 3.2 3.5 1 71 0.25 7.54983443527075 "10"
"85983" "male" "white, non-Hispanic" -1.03 5 1 2.75 1 3.2 3.5 1 71 0.43 9.69535971483266 "10"
"444" "female" "other" -0.93 8 1 1 1 2.8 3 2 77 -0.77 0 "11"
"21853" "female" "other" -0.93 8 1 1 1 2.8 3 2 77 0.07 3.46410161513775 "11"
"43262" "female" "other" -0.93 8 1 1 1 2.8 3 2 77 0.6 5.8309518948453 "11"
"64671" "female" "other" -0.93 8 1 1 1 2.8 3 2 77 0.99 7.61577310586391 "11"
"86080" "female" "other" -0.93 8 1 1 1 2.8 3 2 77 1.08 9.74679434480896 "11"
"460" "male" "black or African American non-Hispanic" -0.67 6 2 1.5 1 3 3.25 1 76 -1.17 0 "12"
"21869" "male" "black or African American non-Hispanic" -0.67 6 2 1.5 1 3 3.25 1 76 -0.2 3.46410161513775 "12"
"43278" "male" "black or African American non-Hispanic" -0.67 6 2 1.5 1 3 3.25 1 76 0.37 6 "12"
"64687" "male" "black or African American non-Hispanic" -0.67 6 2 1.5 1 3 3.25 1 76 0.65 7.61577310586391 "12"
"86096" "male" "black or African American non-Hispanic" -0.67 6 2 1.5 1 3 3.25 1 76 0.75 9.79795897113271 "12"
"544" "male" "white, non-Hispanic" 0.37 8 7 2.25 1.4 2.4 2.75 1 75 -0.59 0 "13"
"21953" "male" "white, non-Hispanic" 0.37 8 7 2.25 1.4 2.4 2.75 1 75 0.58 3.60555127546399 "13"
"43362" "male" "white, non-Hispanic" 0.37 8 7 2.25 1.4 2.4 2.75 1 75 0.8 6 "13"
"64771" "male" "white, non-Hispanic" 0.37 8 7 2.25 1.4 2.4 2.75 1 75 1.11 7.68114574786861 "13"
"86180" "male" "white, non-Hispanic" 0.37 8 7 2.25 1.4 2.4 2.75 1 75 1.37 9.79795897113271 "13"
"675" "female" "white, non-Hispanic" 1.37 8 8 1 1 4 3.25 1 81 -0.39 0 "14"
"22084" "female" "white, non-Hispanic" 1.37 8 8 1 1 4 3.25 1 81 0.6 3.60555127546399 "14"
"43493" "female" "white, non-Hispanic" 1.37 8 8 1 1 4 3.25 1 81 1.03 6 "14"
"64902" "female" "white, non-Hispanic" 1.37 8 8 1 1 4 3.25 1 81 1.42 7.61577310586391 "14"
"86311" "female" "white, non-Hispanic" 1.37 8 8 1 1 4 3.25 1 81 1.7 9.74679434480896 "14"
"688" "male" "white, non-Hispanic" 0.65 8 7 1 1 3.8 4 1 75 -0.05 0 "15"
"22097" "male" "white, non-Hispanic" 0.65 8 7 1 1 3.8 4 1 75 0.82 3.60555127546399 "15"
"43506" "male" "white, non-Hispanic" 0.65 8 7 1 1 3.8 4 1 75 1.11 6.08276253029822 "15"
"64915" "male" "white, non-Hispanic" 0.65 8 7 1 1 3.8 4 1 75 1.4 7.61577310586391 "15"
"86324" "male" "white, non-Hispanic" 0.65 8 7 1 1 3.8 4 1 75 1.9 9.74679434480896 "15"
"690" "female" "white, non-Hispanic" 1.4 8 7 1.25 1 3.8 3.75 1 74 -0.48 0 "16"
"22099" "female" "white, non-Hispanic" 1.4 8 7 1.25 1 3.8 3.75 1 74 0.53 3.60555127546399 "16"
"43508" "female" "white, non-Hispanic" 1.4 8 7 1.25 1 3.8 3.75 1 74 1.22 5.91607978309962 "16"
"64917" "female" "white, non-Hispanic" 1.4 8 7 1.25 1 3.8 3.75 1 74 1.7 7.54983443527075 "16"
"86326" "female" "white, non-Hispanic" 1.4 8 7 1.25 1 3.8 3.75 1 74 1.78 9.74679434480896 "16"
"693" "male" "white, non-Hispanic" 1.11 7 8 2.5 1 3 3.5 1 70 -0.28 0 "17"
"22102" "male" "white, non-Hispanic" 1.11 7 8 2.5 1 3 3.5 1 70 0.62 3.60555127546399 "17"
"43511" "male" "white, non-Hispanic" 1.11 7 8 2.5 1 3 3.5 1 70 1.14 6 "17"
"64920" "male" "white, non-Hispanic" 1.11 7 8 2.5 1 3 3.5 1 70 1.18 7.61577310586391 "17"
"86329" "male" "white, non-Hispanic" 1.11 7 8 2.5 1 3 3.5 1 70 1.53 9.74679434480896 "17"
"759" "male" "white, non-Hispanic" 0.38 8 7 2 1 3 3 1 80 -0.54 0 "18"
"22168" "male" "white, non-Hispanic" 0.38 8 7 2 1 3 3 1 80 0.2 3.46410161513775 "18"
"43577" "male" "white, non-Hispanic" 0.38 8 7 2 1 3 3 1 80 1 5.91607978309962 "18"
"64986" "male" "white, non-Hispanic" 0.38 8 7 2 1 3 3 1 80 1.22 7.61577310586391 "18"
"86395" "male" "white, non-Hispanic" 0.38 8 7 2 1 3 3 1 80 1.6 9.74679434480896 "18"
"849" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 -0.78 0 "19"
"22258" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 0.39 3.46410161513775 "19"
"43667" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 0.83 5.8309518948453 "19"
"65076" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 1.06 7.61577310586391 "19"
"86485" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 1.46 9.74679434480896 "19"
"867" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 -0.18 0 "20"
"22276" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 0.7 3.60555127546399 "20"
"43685" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 1.36 6 "20"
"65094" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 1.43 7.68114574786861 "20"
"86503" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 1.9 9.74679434480896 "20"
"908" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 -0.89 0 "21"
"22317" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 0.23 3.46410161513775 "21"
"43726" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 0.99 6 "21"
"65135" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 1.39 7.68114574786861 "21"
"86544" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 2.08 9.74679434480896 "21"
"911" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 -0.53 0 "22"
"22320" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 0.45 3.46410161513775 "22"
"43729" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 1.03 6 "22"
"65138" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 0.98 7.68114574786861 "22"
"86547" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 1.19 9.74679434480896 "22"
"1011" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 -1.72 0 "23"
"22420" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 -0.24 3.74165738677394 "23"
"43829" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 0.06 6.08276253029822 "23"
"65238" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 0.36 7.68114574786861 "23"
"86647" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 0.62 9.8488578017961 "23"
"1033" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 -0.83 0 "24"
"22442" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 0.44 3.3166247903554 "24"
"43851" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 0.8 5.91607978309962 "24"
"65260" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 1 7.61577310586391 "24"
"86669" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 1.43 9.64365076099295 "24"
"1160" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 -1.1 0 "25"
"22569" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 -0.01 3.60555127546399 "25"
"43978" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 1.03 6 "25"
"65387" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 1.22 7.68114574786861 "25"
"86796" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 1.96 9.79795897113271 "25"
"1189" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 -0.27 0 "26"
"22598" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 0.41 3.60555127546399 "26"
"44007" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 1.04 6 "26"
"65416" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 1.21 7.68114574786861 "26"
"86825" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 1.62 9.8488578017961 "26"
"1204" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 -1.29 0 "27"
"22613" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 0.19 3.60555127546399 "27"
"44022" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 0.81 6 "27"
"65431" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 0.98 7.68114574786861 "27"
"86840" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 1.31 9.74679434480896 "27"
"1210" "male" "white, non-Hispanic" 0.61 5 9 2 2.4 2 2 1 65 -0.7 0 "28"
