"x1" "x2" "x3" "y"
"1" 6.01 3.34 5.78 5.74
"2" 9.85 3.53 5.38 3.32
"3" 7.31 5.9 9.49 3.09
"4" 6.97 5.7 5.99 5.13
"5" 8.61 3.52 7.34 7.65
"6" 8.63 5.11 7.49 8.83
"7" 5.75 2.25 5.3 2.86
"8" 6.77 4.83 5.23 3.71
"9" 8.47 7.26 9.82 8.77
"10" 8.79 7.7 8.81 9.69
"11" 8.07 6.54 8.26 9.39
"12" 8.03 7.56 4.25 8.96
"13" 8.2 5.34 4.2 6.43
"14" 8.34 5.72 7.43 8.37
"15" 10.21 7.59 5.75 7.13
"16" 9.98 6.03 9.05 9.07
"17" 5.67 2.31 6.94 3.46
"18" 9.22 3.06 7.37 4.24
"19" 10.38 5.31 4.09 9.17
"20" 6.68 3.21 7.2 5.88
"21" 6.37 2.05 9.77 2.83
"22" 5.09 6.34 8.43 3.51
"23" 5.77 7.55 8.66 3.19
"24" 5.56 7.55 8.37 4.3
"25" 6.42 3.14 5.88 4.96
"26" 9.75 4.13 5.08 7.75
"27" 8.6 2.57 5.91 5.82
"28" 10.46 2.46 6.55 5.26
"29" 8.36 3.14 7.78 4.67
"30" 9.53 3.59 4.91 4.06
"31" 7.28 2.73 4.99 5.66
"32" 7.24 2.05 5.92 7.69
"33" 6.02 2.14 5.79 5.32
"34" 7.72 4.36 8.97 6.8
"35" 6.55 2.97 7.15 7
"36" 7.02 4.22 7.96 3.78
"37" 10.34 4.64 7.25 3.95
"38" 6.21 7.98 5.16 3.73
"39" 8.48 6.92 9.27 10.1
"40" 6.25 6.1 9.09 4.03
"41" 6.69 5.95 7.92 3.47
"42" 9.72 5.6 5.34 11.95
"43" 6.04 2.64 6.68 3.47
"44" 8.42 5.83 9.62 9.03
"45" 7.52 3.56 6.11 3.54
"46" 6.61 5.49 4.11 5.45
"47" 5.29 7.84 9.4 4.54
"48" 5.62 7.04 8.52 4.84
"49" 6.88 5.96 5.45 4.13
"50" 9.8 4.41 4.71 4.54
"51" 6.38 2.59 8.28 2.63
"52" 6.28 3.92 9.64 2.69
"53" 10.26 7.97 7.71 9.91
"54" 10.96 6.36 5.99 12.09
"55" 10.07 6.12 7.51 7.9
"56" 10.46 5.78 9.21 9.33
"57" 7.83 6.82 8.93 3.53
"58" 6.35 5.26 7.23 5.91
"59" 5.77 7.17 5.12 7.38
"60" 6.68 7.91 7.59 2.99
"61" 9.9 5.54 6.99 10.32
"62" 5.35 2.33 6.5 4.55
"63" 9.82 5.16 6.54 9.03
"64" 5.63 5.71 9.14 4.93
"65" 9.6 2.97 4.08 3.98
"66" 6.83 7.64 7.55 4.67
"67" 9.62 2.57 8.1 5.31
"68" 8.24 6.87 6.74 11.22
"69" 7.17 7.96 9.69 2.57
"70" 5.56 5.87 6.7 5.88
"71" 9.56 3.52 4.7 3.23
"72" 9.56 3.25 8.65 2.37
"73" 10.42 6.92 9.71 5.5
"74" 10.8 3.63 9.65 5.75
"75" 8.09 7 7.49 13.07
"76" 8.3 5.25 6.19 9.52
"77" 5.98 7.68 9.5 2.05
"78" 5.99 6.93 8.59 5.23
"79" 9.72 7.8 5.17 7.97
"80" 9.51 7.54 9.69 11.14
"81" 9.71 6.55 8.52 7.79
"82" 8.93 5.03 9.91 9.48
"83" 7.27 7.33 5.68 4.95
"84" 5.05 2.81 9.17 9.3
"85" 10.73 2.78 5.48 4.63
"86" 10.03 7.54 5.27 10.36
"87" 6.28 6.49 7.88 5.29
"88" 7.97 2.32 8.69 3.84
"89" 8.82 7.33 9.43 8.49
"90" 10.53 2.66 4.73 7.73
"91" 5.07 5.56 7.74 5.39
"92" 6.6 3.69 9.95 3.92
"93" 7.61 4.03 5.85 5.58
"94" 9.98 4.99 4.03 7.06
"95" 10.23 5.56 9.37 11.11
"96" 6.51 4.55 9.35 5.67
"97" 6.95 3.75 6.29 4.58
"98" 6.84 2.29 9.02 2.87
"99" 6.11 3.85 8.75 4.49
"100" 9.08 7.26 9.34 12.55
"101" 9.6 7.27 4.62 7.83
"102" 9.09 3.46 7.99 6.21
"103" 6.25 7.91 8.66 3.58
"104" 9.27 7.32 8.98 6.21
"105" 8.63 2.26 5.27 2.68
"106" 7.04 4.25 5.14 4.43
"107" 5.25 2.33 6.11 6.9
"108" 7.41 6.61 5.02 5.89
"109" 5.47 2.9 4.52 5.74
"110" 6.88 7.8 7.54 6.04
